Processes,Algorithm,Avg_Waiting_Time,Avg_Turnaround_Time,Avg_Response_Time,CPU_Utilization_%,Throughput
10,FCFS,14.60,20.10,14.60,100.00,0.1818
10,SRTF,8.10,13.60,7.90,100.00,0.1818
10,RR,19.10,24.60,6.10,100.00,0.1818
20,FCFS,71.85,81.25,71.85,100.00,0.1064
20,SRTF,52.45,61.85,51.65,100.00,0.1064
20,RR,94.85,104.25,24.20,100.00,0.1064
30,FCFS,101.23,108.47,101.23,100.00,0.1382
30,SRTF,54.30,61.53,54.30,100.00,0.1382
30,RR,108.90,116.13,36.40,100.00,0.1382
40,FCFS,139.97,149.47,139.97,100.00,0.1053
40,SRTF,104.03,113.53,100.55,100.00,0.1053
40,RR,187.45,196.95,47.90,100.00,0.1053
50,FCFS,160.98,169.34,160.98,99.29,0.1188
50,SRTF,113.50,121.86,104.98,99.29,0.1188
50,RR,219.10,227.46,67.32,99.29,0.1188
